customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,TenureGroup,AvgMonthlySpending,ServiceCount,ContractDuration
0025-XXXXX,Female,1,Yes,No,46,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.91,1208.7,No,25-48,26.28,0,24
0026-XXXXX,Male,0,No,No,3,No,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),117.25025103592536,353.93,Yes,0-12,117.98,4,1
0027-XXXXX,Female,1,No,No,17,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Electronic check,121.81737758491856,2139.68,No,13-24,125.86,3,12
0028-XXXXX,Female,1,Yes,Yes,54,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,No,Mailed check,123.60659888141711,6690.04,Yes,49-72,123.89,5,1
0029-XXXXX,Male,0,No,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),41.1,1914.89,No,25-48,39.89,1,24
0030-XXXXX,Male,0,Yes,No,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,37.18,156.82,No,0-12,52.27,2,12
0031-XXXXX,Male,0,Yes,No,65,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),82.72222039631998,5347.73,No,49-72,82.27,3,24
0032-XXXXX,Male,0,Yes,No,29,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),42.27,1204.09,No,25-48,41.52,1,24
0033-XXXXX,Female,0,Yes,No,22,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),93.29,2118.0,Yes,13-24,96.27,3,1
0034-XXXXX,Female,0,No,No,33,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,44.13,1522.11,No,25-48,46.12,1,12
0035-XXXXX,Male,1,No,No,28,No,Yes,Fiber optic,Yes,No,Yes,No,No,No,Two year,Yes,Mailed check,127.53178543702164,3592.28,No,25-48,128.3,3,24
0036-XXXXX,Female,0,No,Yes,36,No,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),42.6,1496.82,No,25-48,41.58,5,1
0037-XXXXX,Female,0,No,Yes,11,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Two year,No,Mailed check,42.48182131368206,413.17,No,0-12,37.56,3,24
0038-XXXXX,Male,0,No,No,10,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),85.53,879.88,Yes,0-12,87.99,3,1
0039-XXXXX,Female,0,Yes,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,27.96,2026.92,No,49-72,28.15,2,1
0040-XXXXX,Male,1,Yes,No,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),30.97,1655.99,No,49-72,30.67,1,12
0041-XXXXX,Female,0,Yes,No,26,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),60.53677721212629,1600.51,No,25-48,61.56,2,1
0042-XXXXX,Female,1,No,Yes,62,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),53.33,3313.79,No,49-72,53.45,5,24
0043-XXXXX,Male,0,No,No,58,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),21.91,1244.55,No,49-72,21.46,2,12
0044-XXXXX,Male,1,No,Yes,50,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,18.2,856.94,Yes,49-72,17.14,2,1
0045-XXXXX,Female,0,Yes,No,52,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,No,Electronic check,41.78763386751865,2170.68,Yes,49-72,41.74,2,24
0046-XXXXX,Male,0,Yes,Yes,69,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,No,Mailed check,128.27049745502896,8833.05,No,49-72,128.02,2,12
0047-XXXXX,Female,0,No,No,60,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),133.05425151868917,7966.4,Yes,49-72,132.77,3,1
0048-XXXXX,Female,0,Yes,No,18,Yes,No,DSL,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),90.85,1631.1,No,13-24,90.62,1,24
0049-XXXXX,Female,0,No,No,53,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),40.51,2147.42,Yes,49-72,40.52,1,1
0050-XXXXX,Female,0,Yes,Yes,11,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),35.2,360.46,Yes,0-12,32.77,3,1
0051-XXXXX,Male,0,Yes,Yes,36,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Two year,No,Electronic check,72.65,2647.09,Yes,25-48,73.53,4,24
0052-XXXXX,Male,0,No,No,4,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),64.68,242.43,Yes,0-12,60.61,2,1
0053-XXXXX,Male,0,No,Yes,12,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,105.65213331979784,1284.18,Yes,0-12,107.02,5,1
0054-XXXXX,Male,0,No,Yes,52,No,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),121.25122547389196,6261.81,No,49-72,120.42,1,24
0055-XXXXX,Male,0,No,No,27,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,42.04,1110.34,Yes,25-48,41.12,2,1
0056-XXXXX,Female,0,Yes,Yes,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,21.37,261.87,Yes,0-12,23.81,1,1
0057-XXXXX,Male,0,No,Yes,71,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,107.19,7543.13,Yes,49-72,106.24,4,1
0058-XXXXX,Female,0,No,No,68,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Two year,Yes,Credit card (automatic),46.12,3200.07,No,49-72,47.06,4,24
0059-XXXXX,Female,0,No,No,16,No,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),72.24609195561726,1184.72,No,13-24,74.04,1,1
0060-XXXXX,Female,0,No,No,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,21.89,943.35,No,25-48,21.94,2,12
0061-XXXXX,Female,0,Yes,No,21,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,21.9,485.74,Yes,13-24,23.13,2,12
0062-XXXXX,Male,1,Yes,No,58,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),56.63,3224.3,No,49-72,55.59,2,1
0063-XXXXX,Female,0,No,No,50,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Two year,No,Electronic check,117.22,5878.93,No,49-72,117.58,4,24
0064-XXXXX,Male,0,No,No,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),26.78,745.36,No,25-48,24.04,1,1
0065-XXXXX,Male,0,Yes,Yes,67,No,Yes,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Bank transfer (automatic),55.31676958639856,3752.48,No,49-72,56.01,2,24
0066-XXXXX,Female,0,Yes,No,53,No,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Two year,No,Mailed check,54.36791422453612,2835.75,No,49-72,53.5,4,24
0067-XXXXX,Male,0,No,No,11,Yes,No,DSL,No,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),57.75,675.71,No,0-12,61.43,2,12
0068-XXXXX,Male,0,No,No,32,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),81.69,2565.43,No,25-48,80.17,3,1
0069-XXXXX,Male,0,No,No,60,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,27.13,1630.05,Yes,49-72,27.17,3,1
0070-XXXXX,Female,0,Yes,No,39,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),45.51731555979633,1779.35,No,25-48,45.62,5,24
0071-XXXXX,Male,0,No,No,7,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,79.5950809952598,559.77,No,0-12,79.97,3,1
0072-XXXXX,Male,0,No,No,56,Yes,No phone service,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.42273241033152,5036.92,Yes,49-72,89.94,3,1
0073-XXXXX,Male,1,No,No,35,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),75.01517424344203,2572.59,No,25-48,73.5,3,1
0074-XXXXX,Female,1,Yes,No,17,Yes,Yes,DSL,Yes,No,No,No,No,No,Two year,Yes,Electronic check,25.51,341.53,Yes,13-24,20.09,3,24
0075-XXXXX,Male,1,No,No,59,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,91.85,5383.53,No,49-72,91.25,2,1
0076-XXXXX,Male,1,No,No,64,No,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),51.98,3379.96,No,49-72,52.81,3,1
0077-XXXXX,Male,0,No,No,42,Yes,No phone service,DSL,No,Yes,No,Yes,Yes,No,Two year,No,Mailed check,41.42,1720.28,No,25-48,40.96,4,24
0078-XXXXX,Female,0,No,Yes,52,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),43.02,2205.38,No,49-72,42.41,2,24
0079-XXXXX,Female,0,No,Yes,17,Yes,No phone service,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,58.95,1092.6,Yes,13-24,64.27,3,1
0080-XXXXX,Female,0,Yes,No,54,Yes,Yes,DSL,No,No,Yes,No,No,No,One year,No,Credit card (automatic),51.76,2742.53,No,49-72,50.79,3,12
0081-XXXXX,Male,0,No,Yes,66,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),29.6,1999.73,No,49-72,30.3,1,1
0082-XXXXX,Male,1,No,Yes,17,No,Yes,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,Mailed check,103.50575256503248,1708.48,No,13-24,100.5,2,24
0083-XXXXX,Female,0,Yes,Yes,68,No,No phone service,DSL,Yes,No,No,No,No,No,Two year,Yes,Electronic check,21.67,1421.0,No,49-72,20.9,1,24
0084-XXXXX,Female,0,Yes,No,6,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,53.81,365.92,Yes,0-12,60.99,4,1
0085-XXXXX,Female,0,No,No,32,Yes,No,DSL,No,No,No,Yes,Yes,No,One year,Yes,Electronic check,76.2,2470.65,No,25-48,77.21,3,12
0086-XXXXX,Male,0,Yes,No,5,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,103.02,473.55,Yes,0-12,94.71,1,1
0087-XXXXX,Male,0,No,No,32,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,74.65875128787818,2285.94,Yes,25-48,71.44,6,1
0088-XXXXX,Female,0,Yes,No,47,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,34.44378181167639,1611.76,Yes,25-48,34.29,3,1
0089-XXXXX,Female,0,Yes,No,63,No,Yes,DSL,No,No,No,No,No,Yes,Two year,Yes,Electronic check,104.36,6566.23,No,49-72,104.23,2,24
0090-XXXXX,Male,0,Yes,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),34.96,445.98,No,0-12,44.6,1,1
0091-XXXXX,Female,1,No,No,64,Yes,Yes,DSL,No,No,No,No,No,No,Two year,No,Electronic check,75.39,4762.76,No,49-72,74.42,2,24
0092-XXXXX,Female,0,No,No,72,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Credit card (automatic),88.50277778534219,6360.05,Yes,49-72,88.33,3,12
0093-XXXXX,Male,0,Yes,No,4,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,94.86,373.93,No,0-12,93.48,5,1
0094-XXXXX,Female,0,Yes,Yes,70,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,No,Electronic check,71.8,5022.42,Yes,49-72,71.75,3,12
0095-XXXXX,Male,0,Yes,Yes,66,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,93.75647144615436,6156.56,Yes,49-72,93.28,3,1
0096-XXXXX,Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),119.53,213.56,Yes,0-12,106.78,2,1
0097-XXXXX,Female,1,No,No,4,No,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),40.72,154.28,Yes,0-12,38.57,5,1
0098-XXXXX,Female,0,No,No,52,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),95.03574365272615,4957.0,No,49-72,95.33,4,24
0099-XXXXX,Male,0,Yes,Yes,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),25.82,819.17,No,25-48,27.31,1,24
0100-XXXXX,Female,0,No,No,19,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,One year,No,Mailed check,43.290296717526246,837.87,No,13-24,44.1,4,12
0101-XXXXX,Male,0,Yes,No,29,Yes,No,DSL,Yes,No,No,Yes,No,No,Two year,Yes,Credit card (automatic),111.93,3218.25,No,25-48,110.97,3,24
0102-XXXXX,Female,0,Yes,No,24,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,47.78,1202.15,Yes,13-24,50.09,3,1
0103-XXXXX,Male,0,Yes,No,71,Yes,No phone service,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,118.3347863459471,8416.87,Yes,49-72,118.55,2,1
0104-XXXXX,Female,1,Yes,No,17,Yes,Yes,DSL,No,No,No,No,No,No,One year,No,Bank transfer (automatic),81.68,1402.54,Yes,13-24,82.5,2,12
0105-XXXXX,Female,0,Yes,No,6,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),74.07,404.03,Yes,0-12,67.34,6,1
0106-XXXXX,Female,0,No,No,60,No,No phone service,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),136.626257147018,8256.54,No,49-72,137.61,2,1
0107-XXXXX,Female,0,Yes,No,61,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,19.6,1199.24,Yes,49-72,19.66,0,12
0108-XXXXX,Male,0,No,No,65,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,30.05,1997.0,Yes,49-72,30.72,1,1
0109-XXXXX,Female,1,No,No,70,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),72.21,5035.03,Yes,49-72,71.93,3,1
0110-XXXXX,Male,0,No,Yes,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),30.45,30.45,No,0-12,15.22,2,24
0111-XXXXX,Female,0,No,No,56,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),144.23232604663212,8000.63,Yes,49-72,142.87,1,1
0112-XXXXX,Female,0,No,No,19,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,29.57,566.76,No,13-24,29.83,2,12
0113-XXXXX,Male,0,Yes,Yes,30,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,Mailed check,119.01311296163458,3520.36,No,25-48,117.35,3,24
0114-XXXXX,Female,0,Yes,No,32,Yes,No,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,Mailed check,85.2447982753105,2677.88,No,25-48,83.68,2,24
0115-XXXXX,Female,0,No,No,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Two year,No,Mailed check,63.41114822756834,4545.71,No,49-72,64.02,5,24
0116-XXXXX,Male,0,No,Yes,38,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,132.65417594594817,5065.59,Yes,25-48,133.3,2,1
0117-XXXXX,Male,0,No,No,16,No,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),62.42170685281188,954.86,No,13-24,59.68,3,1
0118-XXXXX,Male,0,No,Yes,6,Yes,No phone service,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Credit card (automatic),40.01978819688279,104.19,Yes,0-12,17.36,2,12
0119-XXXXX,Male,0,No,No,42,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),91.10418480328688,3765.56,Yes,25-48,89.66,3,1
0120-XXXXX,Male,0,No,No,60,Yes,No phone service,DSL,No,Yes,No,No,Yes,No,One year,Yes,Electronic check,79.4,4869.78,No,49-72,81.16,3,12
0121-XXXXX,Female,0,No,No,51,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,114.45344338247251,5842.98,Yes,49-72,114.57,4,1
0122-XXXXX,Female,0,No,No,68,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),59.67,4021.27,No,49-72,59.14,4,1
0123-XXXXX,Male,0,No,Yes,3,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),103.02,347.84,No,0-12,115.95,4,1
0124-XXXXX,Female,0,No,No,29,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),107.71403424853526,3088.5,Yes,25-48,106.5,4,1
0125-XXXXX,Female,0,No,Yes,44,Yes,No,Fiber optic,No,No,No,No,No,No,One year,No,Mailed check,122.8649268545411,5355.58,No,25-48,121.72,1,12
0126-XXXXX,Male,0,No,No,62,No,Yes,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),105.72,6566.16,Yes,49-72,105.91,4,1
0127-XXXXX,Female,1,Yes,No,22,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),108.57,2393.11,No,13-24,108.78,2,1
0128-XXXXX,Female,0,Yes,Yes,49,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),91.7328074333815,4427.39,Yes,49-72,90.35,2,1
0129-XXXXX,Female,0,No,No,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),24.23,346.92,No,13-24,23.13,2,12
0130-XXXXX,Female,0,Yes,No,43,Yes,No,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),63.6477803423993,2683.17,No,25-48,62.4,2,24
0131-XXXXX,Female,0,Yes,No,56,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,60.90914495353066,3426.7,Yes,49-72,61.19,2,1
0132-XXXXX,Male,0,No,Yes,59,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,No,Mailed check,95.6094269869758,5632.96,No,49-72,95.47,2,12
0133-XXXXX,Female,0,No,No,32,Yes,Yes,DSL,No,No,Yes,No,Yes,No,One year,No,Mailed check,34.49,1155.54,No,25-48,36.11,4,12
0134-XXXXX,Female,0,No,Yes,34,No,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,49.68,1627.6,No,25-48,47.87,4,1
0135-XXXXX,Male,0,No,No,64,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,62.19549048255045,3995.6,Yes,49-72,62.43,1,1
0136-XXXXX,Female,1,Yes,No,39,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,28.37,1075.01,No,25-48,27.56,2,12
0137-XXXXX,Male,0,Yes,No,25,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),86.75,2204.37,Yes,25-48,88.17,3,1
0138-XXXXX,Male,0,No,No,20,Yes,No phone service,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Mailed check,114.37313939666976,2177.23,No,13-24,108.86,2,24
0139-XXXXX,Male,1,Yes,No,51,Yes,No,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Electronic check,46.13061797847721,2412.97,No,49-72,47.31,2,12
0140-XXXXX,Female,1,No,No,51,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),101.28015002170076,5209.84,Yes,49-72,102.15,3,1
0141-XXXXX,Male,0,No,No,39,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,One year,No,Electronic check,35.4529227848964,1390.88,No,25-48,35.66,4,12
0142-XXXXX,Male,0,No,No,11,No,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,56.03,695.94,No,0-12,63.27,1,1
0143-XXXXX,Male,0,No,No,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),18.85,182.52,No,0-12,16.59,2,12
0144-XXXXX,Female,0,No,No,17,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),118.93212327000862,2091.76,Yes,13-24,123.04,4,24
0145-XXXXX,Female,0,No,Yes,0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,42.22,77.18,No,0-12,77.18,1,1
